地图,关键特点,推荐坦克,推荐输出,推荐支援
釜山 (Busan),狭窄走廊、高地平台（MEKA基地）、区域控制强,温斯顿、D.Va、奥丽莎、破坏球、末日铁拳、拉玛刹,狂鼠、法老之鹰、源氏、半藏、士兵:76、探奇,卢西奥、雾子、禅雅塔、巴蒂斯特、伊拉锐
伊利奥斯 (Ilios),开放长视线、易击落（Well/Ruins）、高垂直,破坏球、末日铁拳、西格玛、温斯顿、奥丽莎、毛加,法老之鹰、半藏、猎空、回声、芙蕾雅、索杰恩,卢西奥、飞天猫、伊拉锐、朱诺、生命之梭
漓江塔 (Lijiang Tower),高天花板、高地连接室、室内混战,D.Va、渣客女王、拉玛刹、温斯顿、查莉娅、骇灾,半藏、源氏、黑影、死神、狂鼠、探奇,雾子、天使、生命之梭、卢西奥、莫伊拉
尼泊尔 (Nepal),侧翼掩体、狭窄走廊、垂直跳跃,温斯顿、破坏球、查莉娅、D.Va、末日铁拳、西格玛,源氏、猎空、探奇、法老之鹰、黑影、埃姆雷,卢西奥、禅雅塔、朱诺、飞天猫、雾子
萨摩亚·火山 (Samoa),火山开放、高垂直、击落机会,西格玛、奥丽莎、毛加、温斯顿、破坏球、末日铁拳,法老之鹰、狂鼠、芙蕾雅、回声、索杰恩、半藏,飞天猫、伊拉锐、巴蒂斯特、卢西奥、朱诺
绿洲城 (Oasis),开放垂直、地下通道、高地,温斯顿、D.Va、末日铁拳、西格玛、奥丽莎、拉玛刹,法老之鹰、半藏、索杰恩、猎空、源氏、芙蕾雅,卢西奥、雾子、禅雅塔、飞天猫、伊拉锐
暴雪世界 (Blizzard World),高地平台、多个窒息点、长路径,莱因哈特、奥丽莎、西格玛、渣客女王、查莉娅、路霸,士兵:76、艾什、卡西迪、黑百合、法老之鹰、托比昂,安娜、巴蒂斯特、天使、禅雅塔、布丽吉塔
艾兴瓦尔德 (Eichenwalde),桥下窒息、有限侧翼、城堡高地,莱因哈特、渣客女王、路霸、拉玛刹、毛加、骇灾,死神、狂鼠、堡垒、卡西迪、艾什、秩序之光,布丽吉塔、莫伊拉、卢西奥、生命之梭、瑞稀
好莱坞 (Hollywood),高地A点、侧翼小巷、开放后段,奥丽莎、西格玛、查莉娅、莱因哈特、渣客女王、金驭,黑百合、半藏、索杰恩、士兵:76、法老之鹰、艾什,安娜、伊拉锐、巴蒂斯特、禅雅塔、天使
国王大道 (King's Row),狭窄载具道、桥下窒息、酒店侧翼,莱因哈特、拉玛刹、毛加、渣客女王、路霸、骇灾,死神、卡西迪、秩序之光、美、狂鼠、托比昂,布丽吉塔、莫伊拉、卢西奥、生命之梭、瑞稀
中城 (Midtown),高载具掩体、狭窄通道、火车站,渣客女王、莱因哈特、骇灾、拉玛刹、路霸、查莉娅,美、托比昂、狂鼠、死神、堡垒、卡西迪,布丽吉塔、生命之梭、瑞稀、莫伊拉、卢西奥
努巴尼 (Numbani),高地两侧、机器人高点、开放,西格玛、奥丽莎、D.Va、温斯顿、末日铁拳、金驭,半藏、黑百合、士兵:76、法老之鹰、索杰恩、艾什,安娜、禅雅塔、巴蒂斯特、伊拉锐、天使
帕拉伊苏 (Paraíso),狭窄小巷、多路径、墙骑机会,渣客女王、路霸、查莉娅、拉玛刹、骇灾、毛加,黑影、源氏、探奇、猎空、埃姆雷、芙蕾雅,雾子、卢西奥、飞天猫、生命之梭、朱诺
皇家赛道 (Circuit Royal),狭窄起点、高地咖啡馆、弯道,奥丽莎、西格玛、金驭、莱因哈特、渣客女王、查莉娅,法老之鹰、艾什、索杰恩、黑百合、士兵:76、半藏,天使、巴蒂斯特、伊拉锐、禅雅塔、安娜
多拉多 (Dorado),高地长视线、桥下窒息、加油站,奥丽莎、西格玛、莱因哈特、渣客女王、金驭、路霸,黑百合、士兵:76、法老之鹰、半藏、艾什、索杰恩,安娜、禅雅塔、巴蒂斯特、伊拉锐、天使
哈瓦那 (Havana),狭窄走廊、天桥、侧翼多,D.Va、温斯顿、末日铁拳、破坏球、渣客女王、拉玛刹,黑影、猎空、源氏、探奇、埃姆雷、狂鼠,雾子、卢西奥、生命之梭、飞天猫、朱诺
渣客镇 (Junkertown),高地平台、建筑后侧翼、垃圾场,西格玛、奥丽莎、破坏球、温斯顿、D.Va、末日铁拳,狂鼠、艾什、卡西迪、托比昂、黑影、探奇,安娜、天使、伊拉锐、巴蒂斯特、禅雅塔
里阿尔托 (Rialto),多侧翼路径、后排易破、水道,拉玛刹、渣客女王、路霸、莱因哈特、骇灾、毛加,黑影、索杰恩、斩仇、源氏、探奇、埃姆雷,莫伊拉、布丽吉塔、瑞稀、卢西奥、生命之梭
66号公路 (Route 66),加油站高地、狭窄弯道、隧道,莱因哈特、奥丽莎、西格玛、渣客女王、路霸、金驭,黑百合、半藏、士兵:76、法老之鹰、艾什、索杰恩,安娜、巴蒂斯特、禅雅塔、天使、伊拉锐
直布罗陀 (Watchpoint: Gibraltar),垂直桥梁、高地掉落、长平台,温斯顿、D.Va、破坏球、末日铁拳、西格玛、奥丽莎,法老之鹰、源氏、回声、猎空、芙蕾雅、索杰恩,卢西奥、飞天猫、朱诺、雾子、伊拉锐
香巴里寺院 (Shambali Monastery),高垂直寺庙、长视线、类似尼泊尔,西格玛、奥丽莎、毛加、温斯顿、破坏球、末日铁拳,法老之鹰、半藏、芙蕾雅、回声、索杰恩、士兵:76,伊拉锐、禅雅塔、飞天猫、卢西奥、巴蒂斯特
鲁纳塞彼 (Runasapi),控制+混合、多点位、侧翼,D.Va、末日铁拳、查莉娅、温斯顿、渣客女王、拉玛刹,源氏、黑影、探奇、猎空、埃姆雷、斩仇,雾子、卢西奥、无漾、生命之梭、飞天猫
斗兽场 (Colosseo),狭窄通道、竞技场广场、喷泉,莱因哈特、渣客女王、拉玛刹、路霸、毛加、骇灾,死神、狂鼠、托比昂、堡垒、美、卡西迪,布丽吉塔、莫伊拉、卢西奥、瑞稀、生命之梭
埃斯佩兰萨 (Esperança),出生走廊、塔侧翼、快速旋转,温斯顿、D.Va、金驭、末日铁拳、破坏球、奥丽莎,猎空、源氏、索杰恩、黑影、探奇、埃姆雷,生命之梭、雾子、朱诺、卢西奥、飞天猫
新皇后街 (New Queen Street),商店楼梯、覆盖桥、侧翼多,渣客女王、路霸、骇灾、拉玛刹、查莉娅、毛加,美、黑影、探奇、源氏、猎空、斩仇,布丽吉塔、瑞稀、飞天猫、雾子、莫伊拉
南极半岛 (Antarctic Peninsula),狭窄小巷、多路径、墙骑机会,渣客女王、路霸、查莉娅、拉玛刹、骇灾、毛加、莱因哈特,黑影、源氏、探奇、猎空、埃姆雷、芙蕾雅、索杰恩、斩仇,雾子、卢西奥、飞天猫、生命之梭、朱诺、安燃、无漾
新渣客城 (New Junk City),垃圾场、多随机点、混乱,破坏球、渣客女王、狂鼠式、路霸、拉玛刹、骇灾,狂鼠、托比昂、斩仇、黑影、探奇、艾什,莫伊拉、卢西奥、禅雅塔、瑞稀、布丽吉塔
苏拉瓦萨 (Suravasa),固定+随机点、连接路径,D.Va、温斯顿、拉玛刹、末日铁拳、查莉娅、奥丽莎,源氏、黑影、回声、探奇、猎空、埃姆雷,雾子、生命之梭、安燃、卢西奥、朱诺
阿特利斯 (Aatlis),假设古代竞技场、狭窄高地,莱因哈特、毛加、西格玛、渣客女王、路霸、拉玛刹,半藏、法老之鹰、堡垒、死神、狂鼠、索杰恩,禅雅塔、伊拉锐、布丽吉塔、卢西奥、莫伊拉